Date,Ethereum,Ronin,Flow,Solana,WAX,Polygon,Tezos,Panini,BNB Chain,Theta,Avalanche
2019-07-28,21665.61958477198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-04,27944.7556217178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-11,29467.095055247933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-18,20298.569291287982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-25,19936.157436567348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,19429.33110244677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-08,19232.57578752893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-15,19520.59391692896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-22,17573.515393988328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-29,13084.810433269387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-06,21723.358942287607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-13,17139.98238496892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-20,17409.9800952027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-27,25861.851722225292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-03,22990.204148221612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-10,14534.02018178968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-17,175722.86487598845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-24,334421.2208538674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,310575.56019672204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-08,198630.05517396904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-15,98944.27420631741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-22,135908.76183529946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-29,280938.2459116189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,288827.2914326124,0.0,0.0,0.0,0.0,0.0,0.0,80163.36,0.0,0.0,0.0
2020-01-12,204568.6842682494,0.0,0.0,0.0,0.0,0.0,0.0,26367.43,0.0,0.0,0.0
2020-01-19,125463.99275290544,0.0,0.0,0.0,0.0,0.0,0.0,88734.75,0.0,0.0,0.0
2020-01-26,114777.07296227152,0.0,0.0,0.0,0.0,0.0,0.0,31347.03,0.0,0.0,0.0
2020-02-02,401388.05751891946,0.0,0.0,0.0,0.0,0.0,0.0,19673.56,0.0,0.0,0.0
